item,path,database_table,metadata_differences
Careless Delight,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\careless-delight.md,Alchemical_Items,
Caress of the Great Serpent,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\caress-of-the-great-serpent.md,Specific_Magic_Weapons,"traits: vault='deadly-d10, magical, sweep', db='Magical, Uncommon'"
Carrion Cask,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\carrion-cask.md,Held_Items,"traits: vault='magical', db='Magical, Necromancy, Uncommon'"
Cartographer's Kit,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\cartographers-kit.md,Mundane,"level: vault='3', db='3.0'"
Carver-cutter (Greater),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\carver-cutter-greater.md,Specific_Magic_Weapons,"traits: vault='magical, sweep, wood', db='Magical, Wood'"
Carver-cutter (Major),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\carver-cutter-major.md,Specific_Magic_Weapons,"traits: vault='magical, sweep, wood', db='Magical, Wood'"
Carver-cutter (True),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\carver-cutter-true.md,Specific_Magic_Weapons,"traits: vault='magical, sweep, wood', db='Magical, Wood'"
Carver-Cutter,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\Carver-cutter.md,Specific_Magic_Weapons,"traits: vault='magical, sweep, wood', db='Magical, Wood'"
Cassisian Helmet,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\cassisian-helmet.md,Worn_Items,"traits: vault='invested, magical', db='Abjuration, Invested, Magical'"
Caster's Targe,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\casters-targe.md,Shield_Basic,"page: vault='20', db='2'"
Catch Pole,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\catch-pole.md,Mundane,"level: vault='0', db='0.0'; source: vault='howlofthewind', db='howlofthewild'"
Catching,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\Catching.md,Runes,"traits: vault='magical', db='Abjuration, Magical'"
Caterwaul Sling,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\caterwaul-sling.md,Specific_Magic_Weapons,"source: vault='gmcore', db='corerulebook'; page: vault='242', db='600'; traits: vault='magical, propulsive', db='Evocation, Magical'"
Catoblepas Maul,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\catoblepas-maul.md,Specific_Magic_Weapons,"level: vault='13', db='12'; traits: vault='magical, poison, shove', db='Magical, Poison, Uncommon'"
Cat's Eye Elixir,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\cats-eye-elixir.md,Alchemical_Items,
Cauldron of Nightmares,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\cauldron-of-nightmares.md,Held_Items,"traits: vault='invested, magical', db='Illusion, Invested, Magical, Rare'"
Caustic Deteriorating Dust,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\caustic-deteriorating-dust.md,Consumables,"traits: vault='consumable, magical', db='Consumable, Evocation, Magical, Uncommon'"
Cauthooj Bagpipes,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\cauthooj-bagpipes.md,Held_Items,"traits: vault='magical', db='Magical, Uncommon'"
Cave Worm Venom,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\cave-worm-venom.md,Alchemical_Items,
Cavern's Heart,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\caverns-heart.md,Runes,"traits: vault='earth, magical', db='Conjuration, Earth, Magical, Rare'"
Cayden's Brew (Double),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\caydens-brew-double.md,Consumables,"traits: vault='consumable, magical, poison, potion', db='Conjuration, Consumable, Magical, Poison, Potion'"
Cayden's Brew (Triple),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\caydens-brew-triple.md,Consumables,"traits: vault='consumable, magical, poison, potion', db='Conjuration, Consumable, Magical, Poison, Potion'"
Cayden's Brew,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\caydens-brew.md,Consumables,"traits: vault='consumable, magical, poison, potion', db='Conjuration, Consumable, Magical, Poison, Potion'"
Celestial Hair,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\celestial-hair.md,Consumables,"rarity: vault='rare', db='Uncommon'; traits: vault='consumable, magical, talisman', db='Abjuration, Consumable, Magical, Talisman, Uncommon'"
Celestial Peach (Life),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\celestial-peach-life.md,Consumables,"traits: vault='consumable, divine, healing, mechanical, vitality', db='Consumable, Divine, Healing, Magical, Necromancy, Positive, Rare'"
Celestial Peach (Rejuvenation),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\celestial-peach-rejuvenation.md,Consumables,"traits: vault='consumable, divine, healing, mechanical, vitality', db='Consumable, Divine, Healing, Magical, Necromancy, Positive, Rare'"
Celestial Peachwood Sword,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\celestial-peachwood-sword.md,Specific_Magic_Weapons,"traits: vault='agile, finesse, holy, magical, versatile-s, vitality', db='Holy, Magical, Rare, Vitality'"
Celestial Staff,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\celestial-staff.md,Staff_Wand,"traits: vault='holy, magical, staff, two-hand-d8', db='Good, Magical, Staff, Transmutation, Uncommon'"
Ceramic Plate,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\ceramic-plate.md,Armor_Basic,"level: vault='0', db='0.0'; page: vault='10', db='1'"
Cerulean Scourge,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\cerulean-scourge.md,Alchemical_Items,"source: vault='playercore2', db='advancedplayersguide'"
Chain Mail,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\chain-mail.md,Armor_Basic,"level: vault='0', db='0.0'"
Chain of Stars,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\chain-of-stars.md,Consumables,"traits: vault='consumable, force, magical, talisman', db='Abjuration, Consumable, Magical, Talisman, Uncommon'"
Chain of the Stilled Spirit,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\chain-of-the-stilled-spirit.md,Held_Items,"traits: vault='magical', db='Magical, Necromancy, Uncommon'"
Chain Shirt,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\chain-shirt.md,Armor_Basic,
Chain Sword,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\chain-sword.md,Weapon_Basic,"rarity: vault='uncommon', db='Rare'"
Chakram,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\Chakram.md,Weapon_Basic,"source: vault='tianxiacharacterguide', db='grandbazaar'; page: vault='128', db='105'"
Chakri,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\Chakri.md,Weapon_Basic,
Chalice of Justice,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\chalice-of-justice.md,Specific_Magic_Weapons,"traits: vault='divine, holy, versatile-p', db='Divine, Holy, Uncommon'"
Chameleon Suit (Greater),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\chameleon-suit-greater.md,Consumables,"traits: vault='clockwork, consumable, gadget', db='Clockwork, Consumable, Gadget, Uncommon'"
Chameleon Suit (Major),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\chameleon-suit-major.md,Consumables,"traits: vault='clockwork, consumable, gadget', db='Clockwork, Consumable, Gadget, Uncommon'"
Chameleon Suit,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\chameleon-suit.md,Consumables,"traits: vault='clockwork, consumable, gadget', db='Clockwork, Consumable, Gadget, Uncommon'"
Channel Protection Amulet,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\channel-protection-amulet.md,Worn_Items,"source: vault='gmcore', db='corerulebook'; page: vault='286', db='68'; traits: vault='invested, magical', db='Abjuration, Invested, Magical, Uncommon'"
Chaos Collar,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\chaos-collar.md,C_C_Structure,"traits: vault='companion, invested, primal', db='Companion, Invested, Primal, Transmutation'"
Chaos Falcon Feather,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\chaos-falcon-feather.md,Consumables,
Charlatan's Gloves (Greater),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\charlatans-gloves-greater.md,Worn_Items,
Charlatan's Gloves,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\charlatans-gloves.md,Worn_Items,
Charm of the Ordinary,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\charm-of-the-ordinary.md,Consumables,"traits: vault='consumable, magical', db='Consumable, Magical, Transmutation, Uncommon'"
Chatterer of Follies,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\chatterer-of-follies.md,Specific_Magic_Weapons,"traits: vault='illusion, magical, shove, two-hand-d10, versatile-p', db='Enchantment, Illusion, Magical'"
Cheetah's Elixir (Greater),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\cheetahs-elixir-greater.md,Alchemical_Items,"source: vault='gmcore', db='playercore2'; page: vault='246', db='286'"
Cheetah's Elixir (Lesser),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\cheetahs-elixir-lesser.md,Alchemical_Items,"source: vault='gmcore', db='playercore2'; page: vault='246', db='286'"
Cheetah's Elixir (Moderate),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\cheetahs-elixir-moderate.md,Alchemical_Items,"source: vault='gmcore', db='playercore2'; page: vault='246', db='286'"
Chest,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\Chest.md,Mundane,"level: vault='0', db='0.0'"
Chilled Fire Noodles (Greater),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\chilled-fire-noodles-greater.md,Consumables,"traits: vault='consumable, magical', db='Consumable, Magical, Uncommon'"
Chilled Fire Noodles,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\chilled-fire-noodles.md,Consumables,"traits: vault='consumable, magical', db='Consumable, Magical, Uncommon'"
Chime of Opening,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\chime-of-opening.md,Held_Items,"traits: vault='magical', db='Evocation, Magical, Uncommon'"
Chimera Flail,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\chimera-flail.md,Specific_Magic_Weapons,"traits: vault='disarm, magical, sweep, trip', db='Magical, Uncommon'"
Chimera Thread,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\chimera-thread.md,Consumables,"level: vault='5', db='4'; traits: vault='consumable, magical', db='Consumable, Magical, Transmutation'"
Choker of Elocution (Greater),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\choker-of-elocution-greater.md,Worn_Items,"source: vault='gmcore', db='corerulebook'; page: vault='287', db='68'; traits: vault='invested, magical', db='Enchantment, Invested, Magical'"
Choker of Elocution,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\choker-of-elocution.md,Worn_Items,"source: vault='gmcore', db='corerulebook'; page: vault='287', db='68'; traits: vault='invested, magical', db='Enchantment, Invested, Magical'"
Choleric Contagion,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\choleric-contagion.md,Alchemical_Items,
Chopping Evisceration Snare,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\chopping-evisceration-snare.md,Snares,"source: vault='thegrandbazaar', db='grandbazaar'; traits: vault='consumable, mechanical, snare, trap', db='Consumable, Mechanical, Snare, Trap, Uncommon'"
Chromatic Jellyfish Oil (Greater),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\chromatic-jellyfish-oil-greater.md,Alchemical_Items,
Chromatic Jellyfish Oil (Lesser),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\chromatic-jellyfish-oil-lesser.md,Alchemical_Items,
Chromatic Jellyfish Oil (Moderate),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\chromatic-jellyfish-oil-moderate.md,Alchemical_Items,
Chronicler Wayfinder,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\chronicler-wayfinder.md,Worn_Items,"source: vault='pathfindersocietyguide', db='pfsguide'; traits: vault='invested, magical', db='Evocation, Invested, Magical, Uncommon'"
Chronomancer Staff,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\chronomancer-staff.md,Staff_Wand,"traits: vault='magical, staff, two-hand-d8', db='Divination, Magical, Rare, Staff'"
Cinderclaw Gauntlet,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\cinderclaw-gauntlet.md,Specific_Magic_Weapons,"traits: vault='agile, free-hand, magical, versatile-s', db='Evocation, Magical'"
Cinnamon Seers,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\cinnamon-seers.md,Alchemical_Items,
Clan Dagger,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\clan-dagger.md,Weapon_Basic,"traits: vault='agile, dwarf, parry, versatile-b', db='Agile; Dwarf; Parry; Uncommon; Versatile B'"
Clandestine Cloak (Greater),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\clandestine-cloak-greater.md,Worn_Items,"source: vault='gmcore', db='corerulebook'; page: vault='287', db='68'; traits: vault='invested, magical', db='Illusion, Invested, Magical, Uncommon'"
Clandestine Cloak,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\clandestine-cloak.md,Worn_Items,"source: vault='gmcore', db='corerulebook'; page: vault='287', db='68'; traits: vault='invested, magical', db='Illusion, Invested, Magical, Uncommon'"
Clarity Goggles (Greater),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\clarity-goggles-greater.md,Worn_Items,"traits: vault='invested, magical', db='Divination, Invested, Magical'"
Clarity Goggles (Lesser),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\clarity-goggles-lesser.md,Worn_Items,"traits: vault='invested, magical', db='Divination, Invested, Magical'"
Clarity Goggles (Moderate),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\clarity-goggles-moderate.md,Worn_Items,"traits: vault='invested, magical', db='Divination, Invested, Magical'"
Claw Blade,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\claw-blade.md,Weapon_Basic,"traits: vault='agile, catfolk, deadly-d8, disarm, finesse, versatile-p', db='Agile, Catfolk, Deadly d8, Disarm, Finesse, Uncommon, Versatile P'"
Clay,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\Clay.md,Mundane,"level: vault='0', db='0.0'"
Climbing Bolt,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\climbing-bolt.md,Consumables,"source: vault='gmcore', db='corerulebook'; traits: vault='consumable, magical', db='Conjuration, Consumable, Magical'"
Climbing Kit (Extreme),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\climbing-kit-extreme.md,Mundane,"level: vault='3', db='3.0'"
climbing-kit,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\climbing-kit.md,Mundane,"level: vault='0', db='0.0'"
Clinging Bubbles (Greater),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\clinging-bubbles-greater.md,Consumables,"traits: vault='consumable, magical', db='Consumable, Magical, Transmutation'"
Clinging Bubbles (Lesser),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\clinging-bubbles-lesser.md,Consumables,"traits: vault='consumable, magical', db='Consumable, Magical, Transmutation'"
Clinging Bubbles (Moderate),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\clinging-bubbles-moderate.md,Consumables,"traits: vault='consumable, magical', db='Consumable, Magical, Transmutation'"
Clinging Ooze Snare,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\clinging-ooze-snare.md,Snares,"traits: vault='acid, consumable, mechanical, snare, trap', db='Acid, Consumable, Mechanical, Rare, Snare, Trap'"
Cloak of Devouring Thorns,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\cloak-of-devouring-thorns.md,Worn_Items,"page: vault='187', db='8'; traits: vault='invested, primal', db='Invested, Primal, Rare, Transmutation'"
Cloak of Feline Rest,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\cloak-of-feline-rest.md,Worn_Items,"traits: vault='invested, magical', db='Enchantment, Invested, Magical'"
Cloak of Gnawing Leaves,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\cloak-of-gnawing-leaves.md,Worn_Items,"page: vault='187', db='8'; traits: vault='invested, primal', db='Invested, Primal, Rare, Transmutation'"
Cloak of Immolation,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\cloak-of-immolation.md,Cursed,"source: vault='gmcore', db='gamemasteryguide'; page: vault='306', db='91'; traits: vault='cursed, invested, magical', db='Rare, Cursed, Evocation, Invested, Magical'"
Cloak of Repute (Greater),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\cloak-of-repute-greater.md,Worn_Items,"traits: vault='invested, magical', db='Enchantment, Invested, Magical'"
Cloak of Repute (Major),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\cloak-of-repute-major.md,Worn_Items,"traits: vault='invested, magical', db='Enchantment, Invested, Magical'"
Cloak of Repute,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\cloak-of-repute.md,Worn_Items,"traits: vault='invested, magical', db='Enchantment, Invested, Magical'"
Cloak of the Bat (Greater),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\cloak-of-the-bat-greater.md,Worn_Items,"page: vault='608', db='68'; traits: vault='invested, magical', db='Invested, Magical, Transmutation'"
Cloak of the Bat,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\cloak-of-the-bat.md,Worn_Items,"page: vault='608', db='68'; traits: vault='invested, magical', db='Invested, Magical, Transmutation'"
Cloak of the False Foe,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\cloak-of-the-false-foe.md,Worn_Items,"rarity: vault='uncommon', db='Common'; traits: vault='invested, primal', db='Invested, Primal, Transmutation'"
Cloak of Thirsty Fronds,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\cloak-of-thirsty-fronds.md,Worn_Items,"page: vault='187', db='8'; traits: vault='invested, primal', db='Invested, Primal, Rare, Transmutation'"
Cloak of Waves & Clouds,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\cloak-of-waves-&-clouds.md,Worn_Items,
Clockwork Bookshelf,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\clockwork-bookshelf.md,Mundane,"level: vault='1', db='1.0'; traits: vault='clockwork', db='Clockwork, Uncommon'"
Clockwork Box Packer,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\clockwork-box-packer.md,Mundane,"level: vault='3', db='3.0'; traits: vault='clockwork', db='Clockwork, Uncommon'"
Clockwork Chirper,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\clockwork-chirper.md,Snares,"traits: vault='auditory, clockwork, consumable, mechanical, snare, trap', db='Auditory, Clockwork, Consumable, Mechanical, Snare, Trap, Uncommon'"
Clockwork Cloak,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\clockwork-cloak.md,Worn_Items,"traits: vault='clockwork, invested, magical', db='Clockwork, Invested, Magical, Transmutation, Uncommon'"
Clockwork Dial,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\clockwork-dial.md,Mundane,"level: vault='0', db='0.0'"
Clockwork Disguise,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\clockwork-disguise.md,Mundane,"level: vault='6', db='6.0'; traits: vault='clockwork', db='Clockwork, Uncommon'"
Clockwork Diving Suit,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\clockwork-diving-suit.md,Mundane,"level: vault='6', db='6.0'"
Clockwork Goggles (Greater),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\clockwork-goggles-greater.md,Consumables,"traits: vault='clockwork, consumable, gadget', db='Clockwork, Consumable, Gadget, Uncommon'"
Clockwork Goggles (Major),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\clockwork-goggles-major.md,Consumables,"traits: vault='clockwork, consumable, gadget', db='Clockwork, Consumable, Gadget, Uncommon'"
Clockwork Goggles,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\clockwork-goggles.md,Consumables,"traits: vault='clockwork, consumable, gadget', db='Clockwork, Consumable, Gadget, Uncommon'"
Clockwork Heels,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\clockwork-heels.md,Worn_Items,"source: vault='thegrandbazaar', db='grandbazaar'; traits: vault='clockwork', db='Clockwork, Rare'"
Clockwork Helm,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\clockwork-helm.md,Worn_Items,"traits: vault='clockwork, invested, magical', db='Clockwork, Invested, Magical, Rare'"
Clockwork Macuahuitl,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\clockwork-macuahuitl.md,Weapon_Basic,"source: vault='thegrandbazaar', db='grandbazaar'; traits: vault='backswing, forceful, versatile-b', db='Backswing, Clockwork, Forceful, Rare, Versatile B'"
Clockwork Megaphone,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\clockwork-megaphone.md,Mundane,"level: vault='1', db='1.0'; traits: vault='clockwork', db='Clockwork, Uncommon'"
Clockwork Monkey,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\clockwork-monkey.md,Snares,"traits: vault='auditory, clockwork, consumable, mechanical, snare, trap', db='Auditory, Clockwork, Consumable, Mechanical, Snare, Trap, Uncommon'"
Clockwork Recorder,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\clockwork-recorder.md,Mundane,"level: vault='6', db='6.0'"
Clockwork Rejuvenator,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\clockwork-rejuvenator.md,Consumables,"traits: vault='clockwork, consumable, magical', db='Clockwork, Consumable, Magical, Necromancy, Rare'"
Clockwork Shield (Greater),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\clockwork-shield-greater.md,Specific_Magic_Shields,"traits: vault='magical', db='Magical, Transmutation'"
Clockwork Shield,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\clockwork-shield.md,Specific_Magic_Shields,"traits: vault='magical', db='Magical, Transmutation'"
Clockwork Songbird,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\clockwork-songbird.md,Held_Items,"traits: vault='clockwork, magical', db='Divine, Enchantment, Magical, Unique'"
Clockwork Spider Bomb,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\clockwork-spider-bomb.md,Consumables,"source: vault='thegrandbazaar', db='grandbazaar'; traits: vault='clockwork, consumable, gadget', db='Clockwork, Consumable, Gadget, Uncommon'"
Cloister Robe (Greater),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\cloister-robe-greater.md,Worn_Items,"traits: vault='divine, focused, invested', db='Focused'"
Cloister Robe (Lesser),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\cloister-robe-lesser.md,Worn_Items,"traits: vault='divine, invested', db='Abjuration, Divine, Invested'"
Cloister Robe (Major),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\cloister-robe-major.md,Worn_Items,"traits: vault='divine, focused, invested', db='Focused'"
Cloister Robe (Moderate),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\cloister-robe-moderate.md,Worn_Items,"traits: vault='divine, invested', db='Abjuration, Divine, Invested'"
Cloning Potion,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\cloning-potion.md,Consumables,"traits: vault='consumable, magical, potion', db='Conjuration, Consumable, Magical, Potion, Rare'"
Cloth of Nullification,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\cloth-of-nullification.md,Held_Items,"traits: vault='magical', db='Magical, Rare'"
Clothing (Desert),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\clothing-desert.md,Mundane,"level: vault='0', db='0.0'; source: vault='playercore', db='howlofthewild'; page: vault='287', db='112'"
Clothing (Fine),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\clothing-fine.md,Mundane,"level: vault='0', db='0.0'"
Clothing (High-Fashion Fine),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\clothing-high-fashion-fine.md,Mundane,"level: vault='3', db='3.0'"
Clothing (Ordinary),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\clothing-ordinary.md,Mundane,"level: vault='0', db='0.0'"
Cloud Buns (Greater),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\cloud-buns-greater.md,Consumables,"traits: vault='consumable, magical', db='Consumable, Magical, Uncommon'"
Cloud Buns,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\cloud-buns.md,Consumables,"traits: vault='consumable, magical', db='Consumable, Magical, Uncommon'"
Clown Monarch,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\clown-monarch.md,Alchemical_Items,
club,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\Club.md,Weapon_Basic,
Clubhead Poison,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\clubhead-poison.md,Alchemical_Items,
Coating,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\Coating.md,Runes,"traits: vault='Extradimensional, Magical', db='Conjuration, Extradimensional, Magical'"
Codebreaker's Parchment (Greater),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\codebreakers-parchment-greater.md,Held_Items,
Codebreaker's Parchment (Major),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\codebreakers-parchment-major.md,Held_Items,
Codebreaker's Parchment,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\codebreakers-parchment.md,Held_Items,
Codex of Destruction and Renewal,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\codex-of-destruction-and-renewal.md,Grimoire,"traits: vault='grimoire, magical', db='Grimoire, Magical, Necromancy, Rare'"
