item,database_table,possible_vault_matches
Wand of Reaching (6th-Level Spell),Staff_Wand,Wand of Reaching (6th-level); Wand of Reaching (9th-level); Wand of Reaching (8th-level)
Wand of Reaching (7th-Level Spell),Staff_Wand,Wand of Reaching (7th-level); Wand of Reaching (9th-level); Wand of Reaching (8th-level)
Wand of Reaching (8th-Level Spell),Staff_Wand,Wand of Reaching (8th-level); Wand of Reaching (9th-level); Wand of Reaching (7th-level)
Wand of Reaching (9th-Level Spell),Staff_Wand,Wand of Reaching (9th-level); Wand of Reaching (8th-level); Wand of Reaching (7th-level)
Wand of Refracting Rays (4th-Level Spell),Staff_Wand,Wand of Refracting Rays (4th-level); Wand of Refracting Rays (7th-level); Wand of Reaching (4th-level)
Wand of Refracting Rays (6th-Level Spell),Staff_Wand,Wand of Refracting Rays (7th-level); Wand of Refracting Rays (4th-level); Wand of Reaching (6th-level)
Wand of Rolling Flames (2nd-Level Spell),Staff_Wand,Wand of Rolling Flames (2nd-level); Wand of Rolling Flames (3rd-level); Wand of Rolling Flames (9th-level)
Wand of Rolling Flames (3rd-Level Spell),Staff_Wand,Wand of Rolling Flames (3rd-level); Wand of Rolling Flames (2nd-level); Wand of Rolling Flames (9th-level)
Wand of Rolling Flames (4th-Level Spell),Staff_Wand,Wand of Rolling Flames (4th-level); Wand of Rolling Flames (9th-level); Wand of Rolling Flames (8th-level)
Wand of Rolling Flames (5th-Level Spell),Staff_Wand,Wand of Rolling Flames (5th-level); Wand of Rolling Flames (9th-level); Wand of Rolling Flames (8th-level)
Wand of Rolling Flames (6th-Level Spell),Staff_Wand,Wand of Rolling Flames (6th-level); Wand of Rolling Flames (9th-level); Wand of Rolling Flames (8th-level)
Wand of Rolling Flames (7th-Level Spell),Staff_Wand,Wand of Rolling Flames (7th-level); Wand of Rolling Flames (9th-level); Wand of Rolling Flames (8th-level)
Wand of Rolling Flames (8th-Level Spell),Staff_Wand,Wand of Rolling Flames (8th-level); Wand of Rolling Flames (9th-level); Wand of Rolling Flames (7th-level)
Wand of Rolling Flames (9th-Level Spell),Staff_Wand,Wand of Rolling Flames (9th-level); Wand of Rolling Flames (8th-level); Wand of Rolling Flames (7th-level)
Wand of Spiritual Warfare (2nd-Level),Staff_Wand,Wand of Spiritual Warfare (2nd-Rank Spell); Wand of Spiritual Warfare (8th-Rank Spell); Wand of Spiritual Warfare (6th-Rank Spell)
Wand of Spiritual Warfare (4th-Level),Staff_Wand,Wand of Spiritual Warfare (4th-Rank Spell); Wand of Spiritual Warfare (8th-Rank Spell); Wand of Spiritual Warfare (6th-Rank Spell)
Wand of Spiritual Warfare (6th-Level),Staff_Wand,Wand of Spiritual Warfare (6th-Rank Spell); Wand of Spiritual Warfare (8th-Rank Spell); Wand of Spiritual Warfare (4th-Rank Spell)
Wand of Spiritual Warfare (8th-Level),Staff_Wand,Wand of Spiritual Warfare (8th-Rank Spell); Wand of Spiritual Warfare (6th-Rank Spell); Wand of Spiritual Warfare (4th-Rank Spell)
Wand of Teeming Ghosts (2nd-Level Spell),Staff_Wand,Wand of Teeming Ghosts (2nd-Rank Spell); Wand of Teeming Ghosts (9th-Rank Spell); Wand of Teeming Ghosts (8th-Rank Spell)
Wand of Teeming Ghosts (3rd-Level Spell),Staff_Wand,Wand of Teeming Ghosts (3rd-Rank Spell); Wand of Teeming Ghosts (9th-Rank Spell); Wand of Teeming Ghosts (8th-Rank Spell)
Wand of Teeming Ghosts (4th-Level Spell),Staff_Wand,Wand of Teeming Ghosts (4th-Rank Spell); Wand of Teeming Ghosts (9th-Rank Spell); Wand of Teeming Ghosts (8th-Rank Spell)
Wand of Teeming Ghosts (5th-Level Spell),Staff_Wand,Wand of Teeming Ghosts (5th-Rank Spell); Wand of Teeming Ghosts (9th-Rank Spell); Wand of Teeming Ghosts (8th-Rank Spell)
Wand of Teeming Ghosts (6th-Level Spell),Staff_Wand,Wand of Teeming Ghosts (6th-Rank Spell); Wand of Teeming Ghosts (9th-Rank Spell); Wand of Teeming Ghosts (8th-Rank Spell)
Wand of Teeming Ghosts (7th-Level Spell),Staff_Wand,Wand of Teeming Ghosts (7th-Rank Spell); Wand of Teeming Ghosts (9th-Rank Spell); Wand of Teeming Ghosts (8th-Rank Spell)
Wand of Teeming Ghosts (8th-Level Spell),Staff_Wand,Wand of Teeming Ghosts (8th-Rank Spell); Wand of Teeming Ghosts (9th-Rank Spell); Wand of Teeming Ghosts (7th-Rank Spell)
Wand of Teeming Ghosts (9th-Level Spell),Staff_Wand,Wand of Teeming Ghosts (9th-Rank Spell); Wand of Teeming Ghosts (8th-Rank Spell); Wand of Teeming Ghosts (7th-Rank Spell)
Wand of Thundering Echoes (3rd-Level),Staff_Wand,Wand of Thundering Echoes (3rd-Rank Spell); Wand of Thundering Echoes (8th-Rank Spell); Wand of Thundering Echoes (7th-Rank Spell)
Wand of Thundering Echoes (4th-Level),Staff_Wand,Wand of Thundering Echoes (4th-Rank Spell); Wand of Thundering Echoes (8th-Rank Spell); Wand of Thundering Echoes (7th-Rank Spell)
Wand of Thundering Echoes (5th-Level),Staff_Wand,Wand of Thundering Echoes (5th-Rank Spell); Wand of Thundering Echoes (8th-Rank Spell); Wand of Thundering Echoes (7th-Rank Spell)
Wand of Thundering Echoes (6th-Level),Staff_Wand,Wand of Thundering Echoes (6th-Rank Spell); Wand of Thundering Echoes (8th-Rank Spell); Wand of Thundering Echoes (7th-Rank Spell)
Wand of Thundering Echoes (7th-Level),Staff_Wand,Wand of Thundering Echoes (7th-Rank Spell); Wand of Thundering Echoes (8th-Rank Spell); Wand of Thundering Echoes (6th-Rank Spell)
Wand of Thundering Echoes (8th-Level),Staff_Wand,Wand of Thundering Echoes (8th-Rank Spell); Wand of Thundering Echoes (7th-Rank Spell); Wand of Thundering Echoes (6th-Rank Spell)
Wand of Toxic Blades (6th-Level Spell),Staff_Wand,Wand of Toxic Blades (6th-level); Wand of Toxic Blades (8th-level); Wand of Toxic Blades (7th-level)
Wand of Toxic Blades (7th-Level Spell),Staff_Wand,Wand of Toxic Blades (7th-level); Wand of Toxic Blades (8th-level); Wand of Toxic Blades (6th-level)
Wand of Toxic Blades (8th-Level Spell),Staff_Wand,Wand of Toxic Blades (8th-level); Wand of Toxic Blades (7th-level); Wand of Toxic Blades (6th-level)
Wand of Wearying Dance,Staff_Wand,Wand of Wearing Dance
Wand of Widening (1st-Level Spell),Staff_Wand,Wand of Widening (1st-Rank Spell); Wand of Widening (9th-Rank Spell); Wand of Widening (8th-Rank Spell)
Wand of Widening (2nd-Level Spell),Staff_Wand,Wand of Widening (2nd-Rank Spell); Wand of Widening (9th-Rank Spell); Wand of Widening (8th-Rank Spell)
Wand of Widening (3rd-Level Spell),Staff_Wand,Wand of Widening (3rd-Rank Spell); Wand of Widening (9th-Rank Spell); Wand of Widening (8th-Rank Spell)
Wand of Widening (4th-Level Spell),Staff_Wand,Wand of Widening (4th-Rank Spell); Wand of Widening (9th-Rank Spell); Wand of Widening (8th-Rank Spell)
Wand of Widening (5th-Level Spell),Staff_Wand,Wand of Widening (5th-Rank Spell); Wand of Widening (9th-Rank Spell); Wand of Widening (8th-Rank Spell)
Wand of Widening (6th-Level Spell),Staff_Wand,Wand of Widening (6th-Rank Spell); Wand of Widening (9th-Rank Spell); Wand of Widening (8th-Rank Spell)
Wand of Widening (7th-Level Spell),Staff_Wand,Wand of Widening (7th-Rank Spell); Wand of Widening (9th-Rank Spell); Wand of Widening (8th-Rank Spell)
Wand of Widening (8th-Level Spell),Staff_Wand,Wand of Widening (8th-Rank Spell); Wand of Widening (9th-Rank Spell); Wand of Widening (7th-Rank Spell)
Wand of Widening (9th-Level Spell),Staff_Wand,Wand of Widening (9th-Rank Spell); Wand of Widening (8th-Rank Spell); Wand of Widening (7th-Rank Spell)
Khakkara,Weapon_Basic,Khakkhara
Monkey Fist,Weapon_Basic,Monkey's Fist; Monkey Pin
Rungu,Weapon_Basic,
Darkwood Weapon (High-Grade),Weapon_Material,Duskwood Weapon (High Grade); Duskwood Armor (High Grade); Dawnsilver Weapon (High Grade)
Darkwood Weapon (Standard-Grade),Weapon_Material,Duskwood Weapon (Standard Grade); Duskwood Armor (Standard Grade); Dawnsilver Weapon (Standard Grade)
Mithral Weapon (High-Grade),Weapon_Material,Inubrix Weapon (High Grade); Abysium Weapon (High Grade); Dawnsilver Weapon (High Grade)
Mithral Weapon (Standard-Grade),Weapon_Material,Inubrix Weapon (Standard Grade); Abysium Weapon (Standard Grade); Dawnsilver Weapon (Standard Grade)
Noqual Weapon (High-Grade),Weapon_Material,Inubrix Weapon (High Grade); Cold Iron Weapon (High Grade); Abysium Weapon (High Grade)
Noqual Weapon (Standard-Grade),Weapon_Material,Inubrix Weapon (Standard Grade); Cold Iron Weapon (Stadard Grade); Cold Iron Weapon (Stadard Grade)
Orichalcum Weapon (High-Grade),Weapon_Material,Abysium Weapon (High Grade); Inubrix Weapon (High Grade)
Peachwood Weapon (High-Grade),Weapon_Material,Duskwood Weapon (High Grade); Cold Iron Weapon (High Grade)
Peachwood Weapon (Standard-Grade),Weapon_Material,Duskwood Weapon (Standard Grade); Cold Iron Weapon (Stadard Grade); Cold Iron Weapon (Stadard Grade)
Siccatite Weapon (High-Grade),Weapon_Material,Adamantine Weapon (High Grade); Keep Stone Weapon (High Grade); Inubrix Weapon (High Grade)
Siccatite Weapon (Standard-Grade),Weapon_Material,Adamantine Weapon (Standard Grade); Inubrix Weapon (Standard Grade); Abysium Weapon (Standard Grade)
Silver Weapon (High-Grade),Weapon_Material,Dawnsilver Weapon (High Grade); Inubrix Weapon (High Grade); Abysium Weapon (High Grade)
Silver Weapon (Low-Grade),Weapon_Material,Cold Iron Weapon (Low Grade); Dawnsilver Weapon (High Grade)
Silver Weapon (Standard-Grade),Weapon_Material,Dawnsilver Weapon (Standard Grade); Inubrix Weapon (Standard Grade); Abysium Weapon (Standard Grade)
Sisterstone Weapon (High-Grade),Weapon_Material,Keep Stone Weapon (High Grade); Cold Iron Weapon (High Grade); Dawnsilver Weapon (High Grade)
Sisterstone Weapon (Low-Grade),Weapon_Material,Cold Iron Weapon (Low Grade)
Sisterstone Weapon (Standard-Grade),Weapon_Material,Cold Iron Weapon (Stadard Grade); Cold Iron Weapon (Stadard Grade); Dawnsilver Weapon (Standard Grade)
Sovereign Steel Weapon (High-Grade),Weapon_Material,
Sovereign Steel Weapon (Standard-Grade),Weapon_Material,Dawnsilver Weapon (Standard Grade)
Warpglass Weapon (High-Grade),Weapon_Material,Abysium Weapon (High Grade)
Aeon Stone (Clear Spindle),Worn_Items,Aeon Stone (Pearly White Spindle)
Aeon Stone (Dull Gray),Worn_Items,Aeon Stone (Delaying)
Aeon Stone (Orange Prism),Worn_Items,Aeon Stone (Rainbow Prism); Aeon Stone (Dusty Rose Prism); Aeon Stone (Repairing)
Aeon Stone (Tourmaline Sphere),Worn_Items,Aeon Stone (Amber Sphere)
Belt of Giant Strength,Worn_Items,
Belt of Regeneration,Worn_Items,
Boots of Elvenkind,Worn_Items,
Boots of Elvenkind (Greater),Worn_Items,Boots of Free Running (Greater)
Boots of Speed,Worn_Items,
Bracers of Armor I,Worn_Items,Bracers of Pain; Bracers of Hammers
Bracers of Armor II,Worn_Items,Bracers of Pain; Bracers of Hammers
Bracers of Armor III,Worn_Items,Bracers of Pain; Bracers of Hammers
Cape of the Mountebank,Worn_Items,Cape of the Open Sky
Cassock of Devotion,Worn_Items,
Circlet of Persuasion,Worn_Items,Manacles of Persuasion
Cloak of Elvenkind,Worn_Items,
Cloak of Elvenkind (Greater),Worn_Items,Cloak of Repute (Greater)
Cordelia's Construct Key (Greater),Worn_Items,Cordelia's Construct Key; Cordelia's Greater Construct Key
Diadem of Intellect,Worn_Items,
Druid's Vestments,Worn_Items,
Energy Robe (Acid),Worn_Items,Energy Robe of Acid; Energy Robe of Cold; Energy Robe of Fire
Energy Robe (Cold),Worn_Items,Energy Robe of Cold; Energy Robe of Acid; Energy Robe of Fire
Energy Robe (Electricity),Worn_Items,Energy Robe of Electricity
Energy Robe (Fire),Worn_Items,Energy Robe of Fire; Energy Robe of Acid; Energy Robe of Cold
Eyes of the Eagle,Worn_Items,Eyes of the Cat
Gloves of Storing,Worn_Items,
Goggles of Night,Worn_Items,
Goggles of Night (Greater),Worn_Items,Bottled Sunlight (Greater)
Goggles of Night (Major),Worn_Items,
Hag Eye (Oracular),Worn_Items,
Hag Eye (Smokey),Worn_Items,
Hag Eye (Stoney),Worn_Items,
Handwraps of Mighty Blows (+1 Striking),Worn_Items,Handwraps of Mighty Blows
Handwraps of Mighty Blows (+1),Worn_Items,Handwraps of Mighty Blows
Handwraps of Mighty Blows (+2 Greater Striking),Worn_Items,Handwraps of Mighty Blows
Handwraps of Mighty Blows (+2 Striking),Worn_Items,Handwraps of Mighty Blows
Handwraps of Mighty Blows (+3 Greater Striking),Worn_Items,Handwraps of Mighty Blows
Handwraps of Mighty Blows (+3 Major Striking),Worn_Items,Handwraps of Mighty Blows
Hat of Disguise,Worn_Items,
Hat of Disguise (Greater),Worn_Items,Potion of Disguise (Greater)
Hat of the Magi,Worn_Items,Staff of the Magi
Hat of the Magi (Greater),Worn_Items,Mask of the Mantis (Greater); Robe of the Archmagi (Greater)
Headband of Inspired Wisdom,Worn_Items,
Submersible Helm,Worn_Items,
Submersible Helm (Greater),Worn_Items,
Hongrui's Gartitude,Worn_Items,Hongrui's Gratitude
Instinct Crown,Worn_Items,Instinct Crown (Fury); Instinct Crown (Giant); Instinct Crown (Spirit)
Ki-Channeling Beads,Worn_Items,
Kinbur's Sandals of Bounding,Worn_Items,Kinburi's Sandals of Bounding
Mantle of the Amazing Health,Worn_Items,Mantle of Amazing Health
Mask of the Banshee,Worn_Items,Mask of the Mantis; Mask of the Mantis (Greater)
Mask of the Banshee (Greater),Worn_Items,Mask of the Mantis (Greater); Cloak of the Bat (Greater); Eye of the Unseen (Greater)
Rot Lord's Ring,Worn_Items,
Telekinetic Converter,Worn_Items,Telekinetic Converters
Winged Boots,Worn_Items,
Bloodline Robe - Aberrant,Worn_Items,Bloodline Robe
Bloodline Robe - Aesir,Worn_Items,Bloodline Robe
Bloodline Robe - Angelic,Worn_Items,Bloodline Robe
Bloodline Robe - Demonic,Worn_Items,Bloodline Robe
Bloodline Robe - Diabolic,Worn_Items,Bloodline Robe
Bloodline Robe - Draconic,Worn_Items,Bloodline Robe
Bloodline Robe - Elemental,Worn_Items,Bloodline Robe
Bloodline Robe - Fey,Worn_Items,Bloodline Robe
Bloodline Robe - Genie,Worn_Items,Bloodline Robe
Bloodline Robe - Hag,Worn_Items,Bloodline Robe
Bloodline Robe - Harrow,Worn_Items,Bloodline Robe
Bloodline Robe - Imperial,Worn_Items,Bloodline Robe
Bloodline Robe - Nymph,Worn_Items,Bloodline Robe
Bloodline Robe - Phoenix,Worn_Items,Bloodline Robe
Bloodline Robe - Psychopomp,Worn_Items,Bloodline Robe
Bloodline Robe - Shadow,Worn_Items,Bloodline Robe
Bloodline Robe - Undead,Worn_Items,Bloodline Robe
Bloodline Robe - Wyrmblessed,Worn_Items,
Essence Charm (Acrobatics),Worn_Items,
Essence Charm (Arcana),Worn_Items,Essence Charm
Essence Charm (Athletics),Worn_Items,Essence Charm
Essence Charm (Crafting),Worn_Items,Essence Charm
Essence Charm (Deception),Worn_Items,Essence Charm
Essence Charm (Diplomacy),Worn_Items,Essence Charm
Essence Charm (Intimidation),Worn_Items,
Essence Charm (Medicine),Worn_Items,Essence Charm
Essence Charm (Nature),Worn_Items,Essence Charm
Essence Charm (Occultism),Worn_Items,Essence Charm
Essence Charm (Performance),Worn_Items,
Essence Charm (Religion),Worn_Items,Essence Charm
Essence Charm (Society),Worn_Items,Essence Charm
Essence Charm (Stealth),Worn_Items,Essence Charm
Essence Charm (Survival),Worn_Items,Essence Charm
Essence Charm (Thievery),Worn_Items,Essence Charm
