Name,ItemLevel,Type,Subtype,Cost,Curse,Traits,Rarity,Bulk,Source,Adventuring,Alchemist,Arcane,Blacksmith,Scribe,Bowyer,General,Jewelry,Leatherworker,Music_Games,Illicit,Tailor,Temple,Armorer,Weaponsmith,Tattooist,Publisher_Source
Countering Charm (Major),18,,,20000,,"invested, magical",uncommon,L,Pathfinder GM Core pg. 287,,,,,,,,,,,,,,,,,Paizo
Countering Charm,11,,,1200,,"invested, magical",uncommon,L,Pathfinder GM Core pg. 287,,,,,,,,,,,,,,,,,Paizo
Creeping Death,6,,,45,,"alchemical, consumable, contact, poison",rare,L,Pathfinder #202: Severed at the Root pg. 17,,,,,,,,,,,,,,,,,Paizo
Crimson Fulcrum Lens,9,,,700,,"invested, occult",unique,1,Pathfinder #165: Eyes of Empty Death pg. 75,,,,,,,,,,,,,,,,,Paizo
Crooner's Cravat,13,,,3000,,"invested, magical",unique,,Pathfinder #204: Stage Fright pg. 80,,,,,,,,,,,,,,,,,Paizo
Crown of the Kobold King,9,,,700,,"invested, magical",unique,,Pathfinder Adventure: Crown of the Kobold King pg. 114,,,,,,,,,,,,,,,,,Paizo
Crown of Witchcraft (Greater),18,,,21000,,"focused, invested, magical",,,Pathfinder GM Core pg. 288,,,,,,,,,,,,,,,,,Paizo
Crown of Witchcraft,10,,,1000,,"focused, invested, magical",,,Pathfinder GM Core pg. 288,,,,,,,,,,,,,,,,,Paizo
Crushing Bough Bracers,13,,,2500,,"invested, magical",uncommon,L,Pathfinder #203: Shepherd of Decay pg. 76,,,,,,,,,,,,,,,,,Paizo
Cryolite Eye,6,,,0,,"contract, invested, magical",rare,,Pathfinder Dark Archive pg. 164,,,,,,,,,,,,,,,,,Paizo
Cryomister (Greater),11,,,250,,"cold, consumable, gadget",uncommon,L,Pathfinder Guns & Gears pg. 68,,,,,,,,,,,,,,,,,Paizo
Cryomister (Lesser),1,,,3,,"cold, consumable, gadget",uncommon,L,Pathfinder Guns & Gears pg. 68,,,,,,,,,,,,,,,,,Paizo
Cryomister (Major),17,,,2500,,"cold, consumable, gadget",uncommon,L,Pathfinder Guns & Gears pg. 68,,,,,,,,,,,,,,,,,Paizo
Cryomister (Moderate),5,,,25,,"cold, consumable, gadget",uncommon,L,Pathfinder Guns & Gears pg. 68,,,,,,,,,,,,,,,,,Paizo
Cube of Nex,25,,,0,,"artifact, magical",unique,,Pathfinder Lost Omens Impossible Lands pg. 305,,,,,,,,,,,,,,,,,Paizo
Curious Teardrop,16,,,0,,"divine, intelligent, invested, metal",rare,,Pathfinder Rage of Elements pg. 148,,,,,,,,,,,,,,,,,Paizo
Cursed Immaculate Instrument,12,,,0,,"artifact, cursed, divine, mythic",rare,L,Pathfinder War of Immortals pg. 203,,,,,,,,,,,,,,,,,Paizo
Cythbikian Staff,15,,,5800,,"fungus, magical, staff, two-hand-d8",unique,1,Pathfinder #202: Severed at the Root pg. 80,,,,,,,,,,,,,,,,,Paizo
darkening-poison,0,,,5,,"consumable, poison",uncommon,,Pathfinder Monster Core pg. 48,,,,,,,,,,,,,,,,,Paizo
Darkvision Scope (Greater),15,,,5500,,magical,,L,Pathfinder Guns & Gears pg. 180,,,,,,,,,,,,,,,,,Paizo
Darkvision Scope,5,,,160,,magical,,L,Pathfinder Guns & Gears pg. 180,,,,,,,,,,,,,,,,,Paizo
Dawnflower Beads,11,,,1400,,"divine, healing, intelligent, vitality",rare,,Pathfinder Treasure Vault pg. 194,,,,,,,,,,,,,,,,,Paizo
Dawnsilver Chunk,8,,,500,,precious,uncommon,,Pathfinder GM Core pg. 253,,,,,,,,,,,,,,,,,Paizo
Dawnsilver Ingot,8,,,5000,,precious,uncommon,,Pathfinder GM Core pg. 253,,,,,,,,,,,,,,,,,Paizo
Dawnsilver Tree,0,,,7,,"concussive, elf, fatal-d10, parry",uncommon,1,Pathfinder Guns & Gears pg. 153,,,,,,,,,,,,,,,,,Paizo
Dawnsilver,8+,,,,,precious,uncommon,,Pathfinder GM Core pg. 253,,,,,,,,,,,,,,,,,Paizo
Deathstalk Mushroom,16,,,2000,,"alchemical, consumable, ingested, poison, virulent",rare,L,Pathfinder #211: The Secret of Deathstalk Tower pg. 83,,,,,,,,,,,,,,,,,Paizo
Decaying (Greater),15,,,6500,,"acid, magical, void",,,Pathfinder GM Core pg. 237,,,,,,,,,,,,,,,,,Paizo
Decaying,15,,,6500,,"acid, magical, void",,,Pathfinder GM Core pg. 237,,,,,,,,,,,,,,,,,Paizo
Deck of Harrowed Tales,20,,,0,,"artifact, magical",unique,L,Pathfinder #191: The Destiny War pg. 71,,,,,,,,,,,,,,,,,Paizo
Deck of Many Things,22,,,0,,"artifact, magical",rare,,Pathfinder Gamemastery Guide pg. 107,,,,,,,,,,,,,,,,,Paizo
Defoliation Bomb (Greater),12,,,350,,"alchemical, bomb, consumable, splash, void",uncommon,L,Pathfinder #202: Severed at the Root pg. 77,,,,,,,,,,,,,,,,,Paizo
Defoliation Bomb (Lesser),2,,,7,,"alchemical, bomb, consumable, splash, void",uncommon,L,Pathfinder #202: Severed at the Root pg. 77,,,,,,,,,,,,,,,,,Paizo
Defoliation Bomb (Major),18,,,3600,,"alchemical, bomb, consumable, splash, void",uncommon,L,Pathfinder #202: Severed at the Root pg. 77,,,,,,,,,,,,,,,,,Paizo
Defoliation Bomb (Moderate),4,,,18,,"alchemical, bomb, consumable, splash, void",uncommon,L,Pathfinder #202: Severed at the Root pg. 77,,,,,,,,,,,,,,,,,Paizo
Demon Bone Tiles (Brimorak),5,,,28,,"catalyst, consumable, magical, unholy",rare,L,Pathfinder Lost Omens Rival Academies pg. 111,,,,,,,,,,,,,,,,,Paizo
Demon Bone Tiles (Pusk),2,,,7,,"catalyst, consumable, magical, unholy",rare,L,Pathfinder Lost Omens Rival Academies pg. 111,,,,,,,,,,,,,,,,,Paizo
Demon Bone Tiles (Seraptis),15,,,1200,,"catalyst, consumable, magical, unholy",rare,L,Pathfinder Lost Omens Rival Academies pg. 111,,,,,,,,,,,,,,,,,Paizo
Demon-Hunting Bands,3,,,10,,"consumable, divine, holy, talisman",rare,,Pathfinder Lost Omens Rival Academies pg. 66,,,,,,,,,,,,,,,,,Paizo
Demon's Knot,15,,,0,,"artifact, cursed, invested, magical, unholy",unique,L,Pathfinder #195: Heavy is the Crown pg. 79,,,,,,,,,,,,,,,,,Paizo
Deployable Cover (Ballistic Cover),2,,,35,,,uncommon,1,Pathfinder Guns & Gears pg. 64,,,,,,,,,,,,,,,,,Paizo
Deployable Cover,1,,,15,,,uncommon,1,Pathfinder Guns & Gears pg. 64,,,,,,,,,,,,,,,,,Paizo
Devil's Luck,3,,,0,,"contract, fortune, invested, magical",rare,,Pathfinder #164: Hands of the Devil pg. 74,,,,,,,,,,,,,,,,,Paizo
Dezullon Fountain,11,,,1300,,"acid, agile, magical, plant, repeating",uncommon,L,Pathfinder Treasure Vault pg. 36,,,,,,,,,,,,,,,,,Paizo
Digly's Oil of Sympathy (Greater),12,,,400,,"consumable, healing, magical, oil",rare,L,Pathfinder NPC Core pg. 65,,,,,,,,,,,,,,,,,Paizo
Digly's Oil of Sympathy (Lesser),3,,,12,,"consumable, healing, magical, oil",rare,L,Pathfinder NPC Core pg. 65,,,,,,,,,,,,,,,,,Paizo
Digly's Oil of Sympathy (Major),18,,,5000,,"consumable, healing, magical, oil",rare,L,Pathfinder NPC Core pg. 65,,,,,,,,,,,,,,,,,Paizo
Digly's Oil of Sympathy (Minor),1,,,4,,"consumable, healing, magical, oil",rare,L,Pathfinder NPC Core pg. 65,,,,,,,,,,,,,,,,,Paizo
Digly's Oil of Sympathy (Moderate),6,,,50,,"consumable, healing, magical, oil",rare,L,Pathfinder NPC Core pg. 65,,,,,,,,,,,,,,,,,Paizo
Dirt Sea in a Jar,9,,,880,,magical,uncommon,L,Pathfinder #209: Destroyer's Doom pg. 83,,,,,,,,,,,,,,,,,Paizo
Djezet,0,,,,,precious,rare,,Pathfinder Lost Omens Grand Bazaar pg. 97,,,,,,,,,,,,,,,,,Paizo
Doll (Surprise),1,,,1,,,,L,Pathfinder NPC Core,,,,,,,,,,,,,,,,,Paizo
Dr. Ushernacht's Astonishing Ink (Major),10,,,160,,"alchemical, consumable",uncommon,L,Pathfinder Lost Omens Rival Academies pg. 89,,,,,,,,,,,,,,,,,Paizo
Dr. Ushernacht's Astonishing Ink (Minor),3,,,10,,"alchemical, consumable",uncommon,L,Pathfinder Lost Omens Rival Academies pg. 89,,,,,,,,,,,,,,,,,Paizo
Dr. Ushernacht's Astonishing Ink (Moderate),10,,,160,,"alchemical, consumable",uncommon,L,Pathfinder Lost Omens Rival Academies pg. 89,,,,,,,,,,,,,,,,,Paizo
Draconal Mask,19,,,40000,,"apex, holy, invested, magical",rare,L,Pathfinder #206: Bring the House Down pg. 81,,,,,,,,,,,,,,,,,Paizo
Dragon-Lotus Drum,24,,,0,,"artifact, magical, mythic",unique,1,Pathfinder War of Immortals pg. 150,,,,,,,,,,,,,,,,,Paizo
Dragon Turtle Plate,9,,,700,,"aquadynamic, invested, magical",,3,Pathfinder Treasure Vault pg. 15,,,,,,,,,,,,,,,,,Paizo
Dragon Turtle Scale (Greater),8,,,75,,"consumable, magical, talisman",,,Pathfinder GM Core pg. 264,,,,,,,,,,,,,,,,,Paizo
Dragonclaw Scutcheon,16,,,1600,,"consumable, magical, talisman",,,Pathfinder Treasure Vault pg. 173,,,,,,,,,,,,,,,,,Paizo
Dragonhide,0,,,,,precious,uncommon,,Pathfinder Player Core 2 pg. 276,,,,,,,,,,,,,,,,,Paizo
Dragon's Blood Pudding,2,,,5,,"alchemical, consumable",uncommon,L,Pathfinder Lost Omens The Grand Bazaar pg. 46,,,,,,,,,,,,,,,,,Paizo
Dragon's Crest,1,,,10,,adjustment,uncommon,,Pathfinder Lost Omens The Grand Bazaar pg. 104,,,,,,,,,,,,,,,,,Paizo
Dragontooth Leiomano,13,,,3000,,"fatal-d10, magical, versatile-s",uncommon,1,Pathfinder Treasure Vault pg. 36,,,,,,,,,,,,,,,,,Paizo
Dragontooth Trophy,14,,,800,,"consumable, magical, talisman",,,Pathfinder Treasure Vault pg. 93,,,,,,,,,,,,,,,,,Paizo
Dream Lens,20,,,0,,"artifact, magical",rare,10,Pathfinder #200: Seven Dooms for Sandpoint pg. 182,,,,,,,,,,,,,,,,,Paizo
Dreaming Round,14,,,900,,"consumable, incapacitation, magical, mental, sleep",uncommon,,Pathfinder Guns & Gears pg. 169,,,,,,,,,,,,,,,,,Paizo
Drop of Convergent Waters,2,,,7,,"consumable, magical, talisman, water",rare,,Pathfinder Lost Omens Rival Academies pg. 79,,,,,,,,,,,,,,,,,Paizo
Drumish Pearl Token,11,,,1200,,"invested, magical",rare,,Pathfinder #210: Whispers in the Dirt pg. 79,,,,,,,,,,,,,,,,,Paizo
Dullahan Codex,20,,,0,,"cursed, grimoire, magical",unique,L,Pathfinder Treasure Vault,,,,,,,,,,,,,,,,,Paizo
Durian Bomb (Greater),11,,,275,,"alchemical, bomb, consumable, olfactory, plant, splash",uncommon,L,Pathfinder #203: Shepherd of Decay pg. 77,,,,,,,,,,,,,,,,,Paizo
Durian Bomb (Lesser),1,,,4,,"alchemical, bomb, consumable, olfactory, plant, splash",uncommon,L,Pathfinder #203: Shepherd of Decay pg. 77,,,,,,,,,,,,,,,,,Paizo
Durian Bomb (Major),17,,,2750,,"alchemical, bomb, consumable, olfactory, plant, splash",uncommon,L,Pathfinder #203: Shepherd of Decay pg. 77,,,,,,,,,,,,,,,,,Paizo
Durian Bomb (Moderate),3,,,12,,"alchemical, bomb, consumable, olfactory, plant, splash",uncommon,L,Pathfinder #203: Shepherd of Decay pg. 77,,,,,,,,,,,,,,,,,Paizo
Duskwood Branch,8,,,500,,precious,uncommon,,Pathfinder GM Core pg. 254,,,,,,,,,,,,,,,,,Paizo
Duskwood Lumber,8,,,5000,,precious,uncommon,,Pathfinder GM Core pg. 254,,,,,,,,,,,,,,,,,Paizo
Duskwood,0,,,,,precious,uncommon,,Pathfinder GM Core pg. 254,,,,,,,,,,,,,,,,,Paizo
Dust Goggles,8,,,250,,magical,uncommon,,"Pathfinder #208: Hoof, Cinder, and Storm pg. 80",,,,,,,,,,,,,,,,,Paizo
Earplugs,0,,,1,,,,,Pathfinder Guns and Gears pg. 179,,,,,,,,,,,,,,,,,Paizo
Ebon Fulcrum Lens,12,,,2000,,"invested, occult",unique,L,Pathfinder Abomination Vaults Hardcover Compilation pg. 75,,,,,,,,,,,,,,,,,Paizo
Echo Token,1,,,3,,"consumable, magical",rare,L,Pathfinder Lost Omens Rival Academies pg. 29,,,,,,,,,,,,,,,,,Paizo
Eclipse,8,,,450,,"evocation, light, magical, agile, deadly d6, finesse, thrown 20ft, versatile s",Unique,,Pathfinder #146 Cult of Cinders pg. 72,,,,,,,,,,,,,,,,,Paizo
Elder Sign,25,,,0,,"artifact, occult",rare,1,Pathfinder Gamemastery Guide pg. 108,,,,,,,,,,,,,,,,,Paizo
Electrocable,3,,,45,,"electricity, fire",rare,,Pathfinder Guns and Gears pg. 87,,,,,,,,,,,,,,,,,Paizo
Electromuscular Stimulator,5,,,30,,"consumable, gadget",rare,1,Pathfinder Guns & Gears pg. 68,,,,,,,,,,,,,,,,,Paizo
Elemental Ammunition (Greater),11,,,210,,"damage type, alchemical, consumable, splash",,,Pathfinder Treasure Vault pg. 42,,,,,,,,,,,,,,,,,Paizo
Elemental Ammunition (Lesser),1,,,3,,"damage type, alchemical, consumable, splash",,,Pathfinder Treasure Vault pg. 42,,,,,,,,,,,,,,,,,Paizo
Elemental Ammunition (Moderate),5,,,21,,"acid, alchemical, consumable, splash",,,Pathfinder Treasure Vault pg. 42,,,,,,,,,,,,,,,,,Paizo
Elemental Fragment (Greater),12,,,300,,"consumable, magical",uncommon,,Pathfinder Rage of Elements pg. 224,,,,,,,,,,,,,,,,,Paizo
Elemental Fragment (Major),14,,,500,,"consumable, magical",uncommon,,Pathfinder Rage of Elements pg. 224,,,,,,,,,,,,,,,,,Paizo
Elemental Fragment,10,,,200,,"consumable, magical",uncommon,,Pathfinder Rage of Elements pg. 224,,,,,,,,,,,,,,,,,Paizo
Elemental Gem,10,,,200,,"consumable, magical",,,Pathfinder Core Rulebook pg. 570,,,,,,,,,,,,,,,,,Paizo
Emerald Fulcrum Lens,10,,,1000,,"invested, occult, void, unique",,3,Pathfinder #165: Eyes of Empty Death,,,,,,,,,,,,,,,,,Paizo
Emerald Grasshopper (Greater),9,,,150,,"consumable, magical, talisman",,,Pathfinder GM Core pg. 264,,,,,,,,,,,,,,,,,Paizo
Empathy Charm,2,,,35,,"companion, magical",uncommon,,Pathfinder Treasure Vault pg. 105,,,,,,,,,,,,,,,,,Paizo
Empty Hand Marking,5,,,135,,"invested, magical, tattoo",rare,,Pathfinder #207: The Resurrection Flood pg. 79,,,,,,,,,,,,,,,,,Paizo
Energized Cartridge,4,,,20,,"consumable, magical, talisman",,,Pathfinder Guns & Gears pg. 184,,,,,,,,,,,,,,,,,Paizo
Energizing Treat,7,,,70,,"consumable, magical",,,Pathfinder Treasure Vault pg. 96,,,,,,,,,,,,,,,,,Paizo
Energy Breath Potion (Greater),17,,,3000,,"consumable, magical, potion",,L,Pathfinder GM Core pg. 259,,,,,,,,,,,,,,,,,Paizo
Energy Breath Potion (Lesser),7,,,70,,"consumable, magical, potion",,L,Pathfinder GM Core pg. 259,,,,,,,,,,,,,,,,,Paizo
Energy Breath Potion (Moderate),12,,,400,,"acid, consumable, magical, potion",,L,Pathfinder GM Core pg. 259,,,,,,,,,,,,,,,,,Paizo
Energy Mutagen (Greater),11,,,300,,"alchemical, consumable, elixir, mutagen, polymorph",,L,Pathfinder Treasure Vault pg. 60,,,,,,,,,,,,,,,,,Paizo
Energy Mutagen (Lesser),1,,,4,,"alchemical, consumable, elixir, mutagen, polymorph",,L,Pathfinder Treasure Vault pg. 60,,,,,,,,,,,,,,,,,Paizo
Energy Mutagen (Major),17,,,3000,,"alchemical, consumable, elixir, mutagen, polymorph",,L,Pathfinder Treasure Vault pg. 60,,,,,,,,,,,,,,,,,Paizo
Energy Mutagen (Moderate),3,,,12,,"alchemical, consumable, elixir, mutagen, polymorph",,L,Pathfinder Treasure Vault pg. 60,,,,,,,,,,,,,,,,,Paizo
Energy-Resistant (Greater),12,,,1650,,magical,,,Pathfinder GM Core pg. 226,,,,,,,,,,,,,,,,,Paizo
Energy-Resistant,8,,,420,,magical,,,Pathfinder GM Core pg. 226,,,,,,,,,,,,,,,,,Paizo
Energy Robe of Acid,9,,,575,,"invested, magical",uncommon,L,Pathfinder Lost Omens The Grand Bazaar pg. 50,,,,,,,,,,,,,,,,,Paizo
Energy Robe of Cold,8,,,450,,"invested, magical",uncommon,L,Pathfinder Lost Omens The Grand Bazaar pg. 50,,,,,,,,,,,,,,,,,Paizo
Energy Robe of Electricity,10,,,900,,"invested, magical",uncommon,L,Pathfinder Lost Omens The Grand Bazaar pg. 50,,,,,,,,,,,,,,,,,Paizo
Energy Robe of Fire,7,,,320,,"invested, magical",uncommon,L,Pathfinder Lost Omens The Grand Bazaar pg. 50,,,,,,,,,,,,,,,,,Paizo
Energy Toxin Bottle,7,,,0,,"consumable, cursed, magical, potion",rare,L,Pathfinder Treasure Vault pg. 191,,,,,,,,,,,,,,,,,Paizo
Enhanced Hearing Aids,3,,,50,,magical,,,Pathfinder Lost Omens The Grand Bazaar pg. 68,,,,,,,,,,,,,,,,,Paizo
Entertainer's Cincture (Greater),17,,,13000,,"focused, invested, occult",,,Pathfinder GM Core pg. 289,,,,,,,,,,,,,,,,,Paizo
Entertainer's Cincture,10,,,1000,,"focused, invested, occult",,,Pathfinder GM Core pg. 289,,,,,,,,,,,,,,,,,Paizo
Eroding Bullet,5,,,22,,"acid, alchemical, consumable",uncommon,,Pathfinder Guns & Gears pg. 169,,,,,,,,,,,,,,,,,Paizo
Erraticannon,9,,,700,,"magical, transmutation",rare,,Pathfinder #180: The Smoking Gun pg. 75,,,,,,,,,,,,,,,,,Paizo
Essence Charm,4,,,100,,"invested, magical",rare,,Pathfinder #214: The Broken Palace pg. 81,,,,,,,,,,,,,,,,,Paizo
Essence Forge (Greater),18,,,24000,,magical,rare,20,Pathfinder #214: The Broken Palace pg. 79,,,,,,,,,,,,,,,,,Paizo
Essence Forge (Lesser),6,,,250,,magical,rare,20,Pathfinder #214: The Broken Palace pg. 79,,,,,,,,,,,,,,,,,Paizo
Essence Forge (Moderate),12,,,2000,,magical,rare,20,Pathfinder #214: The Broken Palace pg. 79,,,,,,,,,,,,,,,,,Paizo
Essence Prism,28,,,0,,artifact,unique,5,Pathfinder Gamemastery Guide pg. 108,,,,,,,,,,,,,,,,,Paizo
Eternal Eruption of Barrowsiege,19,,,40000,,"fire, magical",,L,Pathfinder GM Core pg. 273,,,,,,,,,,,,,,,,,Paizo
Eternal Eruption of Blackpeak,7,,,360,,"fire, magical",,L,Pathfinder GM Core pg. 273,,,,,,,,,,,,,,,,,Paizo
Eternal Eruption of Droskar's Crag,13,,,3000,,"fire, magical",,L,Pathfinder GM Core pg. 273,,,,,,,,,,,,,,,,,Paizo
Eternal Eruption of Ka,15,,,6500,,"fire, magical",,L,Pathfinder GM Core pg. 273,,,,,,,,,,,,,,,,,Paizo
Eternal Eruption of Mhar Massif,11,,,1400,,"fire, magical",,L,Pathfinder GM Core pg. 273,,,,,,,,,,,,,,,,,Paizo
Eternal Eruption of Pale Mountain,9,,,700,,"fire, magical",,L,Pathfinder GM Core pg. 273,,,,,,,,,,,,,,,,,Paizo
Eternal Eruption of Sakalayo,17,,,15000,,"fire, magical",,L,Pathfinder GM Core pg. 273,,,,,,,,,,,,,,,,,Paizo
Eternal Eruption,5,,,160,,"fire, magical",,L,Pathfinder GM Core pg. 273,,,,,,,,,,,,,,,,,Paizo
Etheric Essence Disruptor (Greater),11,,,300,,"consumable, gadget",uncommon,1,Pathfinder Guns & Gears pg. 68,,,,,,,,,,,,,,,,,Paizo
Etheric Essence Disruptor (Lesser),3,,,12,,"consumable, gadget",uncommon,1,Pathfinder Guns & Gears pg. 68,,,,,,,,,,,,,,,,,Paizo
Etheric Essence Disruptor (Major),15,,,1300,,"consumable, gadget",uncommon,1,Pathfinder Guns & Gears pg. 68,,,,,,,,,,,,,,,,,Paizo
Etheric Essence Disruptor (Moderate),7,,,70,,"consumable, gadget",uncommon,1,Pathfinder Guns & Gears pg. 68,,,,,,,,,,,,,,,,,Paizo
Euphorium,7,,,60,,"alchemical, consumable, processed",uncommon,,"Pathfinder #205: Singer, Stalker, Skinsaw Man pg. 81",,,,,,,,,,,,,,,,,Paizo
Everlight Crystal,1,,,15,,"light, magical",,L,Pathfinder GM Core pg. 273,,,,,,,,,,,,,,,,,Paizo
Explosive Mine (Greater),12,,,400,,"consumable, gadget",uncommon,L,Pathfinder Guns & Gears pg. 69,,,,,,,,,,,,,,,,,Paizo
Explosive Mine (Lesser),1,,,4,,"consumable, gadget",uncommon,L,Pathfinder Guns & Gears pg. 69,,,,,,,,,,,,,,,,,Paizo
Explosive Mine (Major),18,,,4000,,"consumable, gadget",uncommon,L,Pathfinder Guns & Gears pg. 69,,,,,,,,,,,,,,,,,Paizo
Explosive Mine (Moderate),6,,,40,,"consumable, gadget",uncommon,L,Pathfinder Guns & Gears pg. 69,,,,,,,,,,,,,,,,,Paizo
Exsanguinating Ammunition (Greater),8,,,80,,"alchemical, consumable",,,Pathfinder Guns & Gears pg. 170,,,,,,,,,,,,,,,,,Paizo
Exsanguinating Ammunition (Major),12,,,360,,"alchemical, consumable",,,Pathfinder Guns & Gears pg. 170,,,,,,,,,,,,,,,,,Paizo
Exsanguinating Ammunition,4,,,15,,"alchemical, consumable",,,Pathfinder Guns & Gears pg. 170,,,,,,,,,,,,,,,,,Paizo
Extendable Tail,3,,,10,,mechanical,,1,Pathfinder Treasure Vault pg. 108,,,,,,,,,,,,,,,,,Paizo
Eye of the Unseen (Greater),14,,,4000,,"invested, magical",,L,Pathfinder Lost Omens The Grand Bazaar pg. 73,,,,,,,,,,,,,,,,,Paizo
Eye of the Unseen,8,,,450,,"invested, magical",,L,Pathfinder Lost Omens The Grand Bazaar pg. 73,,,,,,,,,,,,,,,,,Paizo
Eye of the Wise,11,,,0,,"artifact, invested",unique,L,Pathfinder #147: Tomorrow Must Burn pg. 72,,,,,,,,,,,,,,,,,Paizo
Eyes of the Moonwarden,9,,,620,,"invested, magical",uncommon,L,"Pathfinder #208: Hoof, Cinder, and Storm pg. 80",,,,,,,,,,,,,,,,,Paizo
Faerie Dragonet Liqueur (Greater),17,,,3000,,"consumable, magical, mental, potion",uncommon,L,Pathfinder Treasure Vault pg. 89,,,,,,,,,,,,,,,,,Paizo
Faerie Dragonet Liqueur (Lesser),7,,,70,,"consumable, magical, mental, potion",uncommon,L,Pathfinder Treasure Vault pg. 89,,,,,,,,,,,,,,,,,Paizo
Faerie Dragon Liqueur,12,,,400,,"consumable, magical, mental, potion",uncommon,L,Pathfinder Treasure Vault pg. 89,,,,,,,,,,,,,,,,,Paizo
Faerie Queen's Bower,13,,,0,,"divine, intelligent, invested, laminar",rare,1,Pathfinder Treasure Vault pg. 194,,,,,,,,,,,,,,,,,Paizo
Fairy Bullet,7,,,65,,"consumable, fey, magical",uncommon,,Pathfinder Guns & Gears pg. 170,,,,,,,,,,,,,,,,,Paizo
Falconsight Eye,6,,,200,,magical,uncommon,L,Pathfinder Treasure Vault pg. 108,,,,,,,,,,,,,,,,,Paizo
Farlight Stone,2,,,35,,"light, magical",uncommon,L,Pathfinder #213: Thirst for Blood pg. 82,,,,,,,,,,,,,,,,,Paizo
Faultline Hammer,6,,,250,,"magical, razing, shove, two-hand-d10, versatile-p",uncommon,2,"Pathfinder #208: Hoof, Cinder, and Storm pg. 77",,,,,,,,,,,,,,,,,Paizo
Feral Linguist (Greater),8,,,85,,"catalyst, consumable, magical",uncommon,L,Pathfinder #202: Severed at the Root pg. 78,,,,,,,,,,,,,,,,,Paizo
Feral Linguist,1,,,3,,"catalyst, consumable, magical",uncommon,L,Pathfinder #202: Severed at the Root pg. 78,,,,,,,,,,,,,,,,,Paizo
Fiendbreaker (Artifact),20,,,0,,"apex, artifact, divine, intelligent, invested, magical, monk, staff",unique,1,Pathfinder #212: A Voice in the Blight pg. 72,,,,,,,,,,,,,,,,,Paizo
Fiendbreaker,15,,,6500,,"divine, staff",unique,,Pathfinder #211: The Secret of Deathstalk Tower pg. 81,,,,,,,,,,,,,,,,,Paizo
Fiendish Teleportation,11,,,0,,"contract, invested, magical",Rare,,Pathfinder Lost Omens Legends pg. 10,,,,,,,,,,,,,,,,,Paizo
Fiend's Hunger,4,,,100,,"agile, finesse, magical, thrown-10, versatile-s",unique,L,Pathfinder #196: The Summer That Never Was pg. 81,,,,,,,,,,,,,,,,,Paizo
Final Blade,20,,,0,,"artifact, death, occult",rare,40,Pathfinder Adventure: Night of the Gray Death pg. 53,,,,,,,,,,,,,,,,,Paizo
Final Scalecloak,20,,,0,,"artifact, invested, magical, mythic",unique,L,Pathfinder War of Immortals pg. 151,,,,,,,,,,,,,,,,,Paizo
Firearm Cleaning Kit,0,,,1,,,uncommon,,Gunes and Gears pg. 179,,,,,,,,,,,,,,,,,
Flare Beacon (Greater),10,,,180,,"consumable, gadget",uncommon,L,Pathfinder Guns & Gears pg. 69,,,,,,,,,,,,,,,,,Paizo
Flare Beacon (Lesser),1,,,4,,"consumable, gadget",uncommon,L,Pathfinder Guns & Gears pg. 69,,,,,,,,,,,,,,,,,Paizo
Flare Beacon (Major),16,,,1500,,"consumable, gadget",uncommon,L,Pathfinder Guns & Gears pg. 69,,,,,,,,,,,,,,,,,Paizo
Flare Beacon (Moderate),6,,,35,,"consumable, gadget",uncommon,L,Pathfinder Guns & Gears pg. 69,,,,,,,,,,,,,,,,,Paizo
Flawed Orb of Gold Dragonkind,25,,,0,,"artifact, magical",unique,1,Pathfinder #150: Broken Promises pg. 75,,,,,,,,,,,,,,,,,Paizo
Fleshrender,16,,,24000,,magical,Unique,,Pathfinder Prey for Death pg. 102,,,,,,,,,,,,,,,,,Paizo
Flintlock Musket,0,,,5,,"concussive, fatal-d10",uncommon,1,Pathfinder Guns & Gears pg. 153,,,,,,,,,,,,,,,,,Paizo
Flintlock Pistol,0,,,4,,"concussive, fatal-d8",uncommon,1,Pathfinder Guns & Gears pg. 153,,,,,,,,,,,,,,,,,Paizo
Flowing Water (Greater),11,,,1200,,"invested, magical, tattoo",uncommon,,Pathfinder #207: The Resurrection Flood pg. 80,,,,,,,,,,,,,,,,,Paizo
Flowing Water (Lesser),3,,,55,,"invested, magical, tattoo",uncommon,,Pathfinder #207: The Resurrection Flood pg. 80,,,,,,,,,,,,,,,,,Paizo
Flowing Water (Moderate),7,,,320,,"invested, magical, tattoo",uncommon,,Pathfinder #207: The Resurrection Flood pg. 80,,,,,,,,,,,,,,,,,Paizo
Flying Broomstick,12,,,1900,,magical,,1,Pathfinder GM Core,,,,,,,,,,,,,,,,,Paizo
Forgefather's Seal,24,,,0,,"artifact, divine",unique,,Pathfinder GM Core pg. 300,,,,,,,,,,,,,,,,,Paizo
Forgotten Signet,21,,,0,,"artifact, invested, magical",rare,,Pathfinder Treasure Vault pg. 179,,,,,,,,,,,,,,,,,Paizo
Formulated Sunlight,,,,40,,consumable,,,Pathfinder Lost Omens Character Guide,,,,,,,,,,,,,,,,,Paizo
Fox Marble,,,,0,,,uncommon,,Pathfinder Adventure Path #168: King of the Mountain,,,,,,,,,,,,,,,,,Paizo
Foxglove Token (Greater),8,,,425,,"magical, poison, spellheart",uncommon,L,Pathfinder #202: Severed at the Root pg. 78,,,,,,,,,,,,,,,,,Paizo
