item,path,target_layout,possible_database_matches,export_errors,Name,Source,Rarity,Traits,ItemLevel,AddedPrice,AddedPricePerBulk,Prerequisite,Type,Publisher_Source,Subtype,Cost,Curse,Bulk,Adventuring,Alchemist,Arcane,Blacksmith,Scribe,Bowyer,General,Jewelry,Leatherworker,Music_Games,Illicit,Tailor,Temple,Armorer,Weaponsmith,Tattooist
Clear Cutter's Axe,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\clear-cutters-axe.md,worn_item,,,Clear Cutter's Axe,Pathfinder #202: Severed at the Root pg. 77,rare,"agile, magical, sweep, thrown-10",9,,,,,Paizo,,600,,L,,,,,,,,,,,,,,,,
Cleft Head Marking (Greater),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\cleft-head-marking-greater.md,worn_item,,,Cleft Head Marking (Greater),Pathfinder #207: The Resurrection Flood pg. 79,rare,"invested, magical, tattoo",10,,,,,Paizo,,850,,,,,,,,,,,,,,,,,,
Cleft Head Marking (Lesser),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\cleft-head-marking-lesser.md,worn_item,,,Cleft Head Marking (Lesser),Pathfinder #207: The Resurrection Flood pg. 79,rare,"invested, magical, tattoo",4,,,,,Paizo,,80,,,,,,,,,,,,,,,,,,
Cloak of Swiftness,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\cloak-of-swiftness.md,worn_item,Oil of Swiftness,,Cloak of Swiftness,Pathfinder GM Core pg. 270,,"apex, invested, magical",17,,,,,Paizo,,15000,,,,,,,,,,,,,,,,,,
Clockwork Sun,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\clockwork-sun.md,basic,Clockwork Heels; Clockwork Songbird; Clockwork Disguise,,Clockwork Sun,Pathfinder #214: The Broken Palace pg. 80,rare,"arcane, artifact, clockwork",20,,,,Shield,Paizo,,0,,24,,,,,,,,,,,,,,,,
Cloud Pouch,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\cloud-pouch.md,worn_item,,,Cloud Pouch,Pathfinder GM Core pg. 273,,"magical, water",6,,,,,Paizo,,225,,1,,,,,,,,,,,,,,,,
Coat Pistol,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\coat-pistol.md,basic,,,Coat Pistol,Pathfinder Guns & Gears pg. 152,uncommon,"concealable, concussive, fatal-d8",0,,,,Simple Ranged,Paizo,,5,,L,,,,,,,,,,,,,,,,
Cold Iron Buckler (High Grade),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\cold-iron-buckler-high-grade.md,material,Cold Iron Armor (High-Grade); Cold Iron Weapon (High-Grade); Cold Iron Shield (High-Grade),,Cold Iron Buckler (High Grade),Pathfinder GM Core pg. 233,,,15,5000,,,,Paizo,,,,,,,,,,,,,,,,,,,,
Cold Iron Buckler (Low Grade),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\cold-iron-buckler-low-grade.md,material,Cold Iron Armor (Low-Grade); Cold Iron Weapon (Low-Grade); Cold Iron Shield (Low-Grade),,Cold Iron Buckler (Low Grade),Pathfinder GM Core pg. 233,,,2,30,,,,Paizo,,,,,,,,,,,,,,,,,,,,
Cold Iron Buckler (Standard Grade),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\cold-iron-buckler-standard-grade.md,material,Cold Iron Armor (Standard-Grade); Cold Iron Weapon (Standard-Grade); Cold Iron Shield (Standard-Grade),,Cold Iron Buckler (Standard Grade),Pathfinder GM Core pg. 233,,,7,300,,,,Paizo,,,,,,,,,,,,,,,,,,,,
Cold Iron Object (High Grade),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\cold-iron-object-high-grade.md,material,Cold Iron Armor (High-Grade); Cold Iron Weapon (High-Grade); Cold Iron Shield (High-Grade),,Cold Iron Object (High Grade),Pathfinder GM Core pg. 253,,precious,15,4500,,,,Paizo,,,,,,,,,,,,,,,,,,,,
Cold Iron Object (Low Grade),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\cold-iron-object-low-grade.md,material,Cold Iron Armor (Low-Grade); Cold Iron Weapon (Low-Grade); Cold Iron Shield (Low-Grade),,Cold Iron Object (Low Grade),Pathfinder GM Core pg. 253,,precious,2,20,,,,Paizo,,,,,,,,,,,,,,,,,,,,
Cold Iron Object (Standard Grade),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\cold-iron-object-standard-grade.md,material,Cold Iron Armor (Standard-Grade); Cold Iron Weapon (Standard-Grade); Cold Iron Shield (Standard-Grade),,Cold Iron Object (Standard Grade),Pathfinder GM Core pg. 253,,precious,7,250,,,,Paizo,,,,,,,,,,,,,,,,,,,,
Cold Iron,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\cold-iron.md,worn_item,Cold Iron Ingot; Cold Iron Chunk,,Cold Iron,Pathfinder GM Core pg. 253,,precious,2,,,,,Paizo,,,,,,,,,,,,,,,,,,,,
Coldstar Pistols,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\coldstar-pistols.md,worn_item,,,Coldstar Pistols,Pathfinder Treasure Vault pg. 178,unique,"agile, artifact, concealable, concussive, fatal-d10, magical",23,,,,,Paizo,,0,,1,,,,,,,,,,,,,,,,
Combat Fishing Pole,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\combat-fishing-pole.md,basic,,,Combat Fishing Pole,Pathfinder War of Immortals pg. 147,uncommon,"tethered, thrown-20, versatile-p",0,,,,Martial Melee,Paizo,,4,,L,,,,,,,,,,,,,,,,
Compound Eyes,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\compound-eyes.md,worn_item,,,Compound Eyes,Pathfinder Howl of the Wild pg. 98,,"fortune, graft, invested, magical",4,,,,,Paizo,,75,,,,,,,,,,,,,,,,,,
Concealed Holster,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\concealed-holster.md,worn_item,,,Concealed Holster,Pathfinder Guns & Gears pg. 179,uncommon,,3,,,,,Paizo,,25,,L,,,,,,,,,,,,,,,,
confabulator,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\Confabulator.md,worn_item,,,confabulator,Pathfinder Treasure Vault pg. 109,uncommon,"illusion, magical",3,,,,,Paizo,,55,,,,,,,,,,,,,,,,,,
Conspirator's Cookie,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\conspirators-cookie.md,worn_item,,,Conspirator's Cookie,Pathfinder Lost Omens Rival Academies pg. 29,rare,"consumable, magical",4,,,,,Paizo,,15,,L,,,,,,,,,,,,,,,,
Countering Charm (Greater),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\countering-charm-greater.md,worn_item,,,Countering Charm (Greater),Pathfinder GM Core pg. 287,uncommon,"invested, magical",15,,,,,Paizo,,5500,,L,,,,,,,,,,,,,,,,
Countering Charm (Major),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\countering-charm-major.md,worn_item,,,Countering Charm (Major),Pathfinder GM Core pg. 287,uncommon,"invested, magical",18,,,,,Paizo,,20000,,L,,,,,,,,,,,,,,,,
Countering Charm,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\countering-charm.md,worn_item,,,Countering Charm,Pathfinder GM Core pg. 287,uncommon,"invested, magical",11,,,,,Paizo,,1200,,L,,,,,,,,,,,,,,,,
Creeping Death,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\creeping-death.md,worn_item,,,Creeping Death,Pathfinder #202: Severed at the Root pg. 17,rare,"alchemical, consumable, contact, poison",6,,,,,Paizo,,45,,L,,,,,,,,,,,,,,,,
Crimson Fulcrum Lens,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\crimson-fulcrum-lens.md,worn_item,,,Crimson Fulcrum Lens,Pathfinder #165: Eyes of Empty Death pg. 75,unique,"invested, occult",9,,,,,Paizo,,700,,1,,,,,,,,,,,,,,,,
Crooner's Cravat,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\crooners-cravat.md,worn_item,,,Crooner's Cravat,Pathfinder #204: Stage Fright pg. 80,unique,"invested, magical",13,,,,,Paizo,,3000,,,,,,,,,,,,,,,,,,
Crown of the Kobold King,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\crown-of-the-kobold-king.md,worn_item,,,Crown of the Kobold King,Pathfinder Adventure: Crown of the Kobold King pg. 114,unique,"invested, magical",9,,,,,Paizo,,700,,,,,,,,,,,,,,,,,,
Crown of Witchcraft (Greater),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\crown-of-witchcraft-greater.md,worn_item,Crown of the Fire Eater; Crown of the Fire Eater (Greater),,Crown of Witchcraft (Greater),Pathfinder GM Core pg. 288,,"focused, invested, magical",18,,,,,Paizo,,21000,,,,,,,,,,,,,,,,,,
Crown of Witchcraft,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\crown-of-witchcraft.md,worn_item,,,Crown of Witchcraft,Pathfinder GM Core pg. 288,,"focused, invested, magical",10,,,,,Paizo,,1000,,,,,,,,,,,,,,,,,,
Crushing Bough Bracers,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\crushing-bough-bracers.md,worn_item,Crushing (Greater),,Crushing Bough Bracers,Pathfinder #203: Shepherd of Decay pg. 76,uncommon,"invested, magical",13,,,,,Paizo,,2500,,L,,,,,,,,,,,,,,,,
Cryolite Eye,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\cryolite-eye.md,worn_item,,,Cryolite Eye,Pathfinder Dark Archive pg. 164,rare,"contract, invested, magical",6,,,,,Paizo,,0,,,,,,,,,,,,,,,,,,
Cryomister (Greater),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\cryomister-greater.md,worn_item,Cloister Robe (Greater); Frost (Greater); Jyoti's Feather (Greater),,Cryomister (Greater),Pathfinder Guns & Gears pg. 68,uncommon,"cold, consumable, gadget",11,,,,,Paizo,,250,,L,,,,,,,,,,,,,,,,
Cryomister (Lesser),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\cryomister-lesser.md,worn_item,Cloister Robe (Lesser),,Cryomister (Lesser),Pathfinder Guns & Gears pg. 68,uncommon,"cold, consumable, gadget",1,,,,,Paizo,,3,,L,,,,,,,,,,,,,,,,
Cryomister (Major),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\cryomister-major.md,worn_item,Cloister Robe (Major); Jyoti's Feather (Major),,Cryomister (Major),Pathfinder Guns & Gears pg. 68,uncommon,"cold, consumable, gadget",17,,,,,Paizo,,2500,,L,,,,,,,,,,,,,,,,
Cryomister (Moderate),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\cryomister-moderate.md,worn_item,Cloister Robe (Moderate),,Cryomister (Moderate),Pathfinder Guns & Gears pg. 68,uncommon,"cold, consumable, gadget",5,,,,,Paizo,,25,,L,,,,,,,,,,,,,,,,
Cube of Nex,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\cube-of-nex.md,worn_item,,,Cube of Nex,Pathfinder Lost Omens Impossible Lands pg. 305,unique,"artifact, magical",25,,,,,Paizo,,0,,,,,,,,,,,,,,,,,,
Curious Teardrop,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\curious-teardrop.md,worn_item,,,Curious Teardrop,Pathfinder Rage of Elements pg. 148,rare,"divine, intelligent, invested, metal",16,,,,,Paizo,,0,,,,,,,,,,,,,,,,,,
Cursed Immaculate Instrument,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\cursed-immaculate-instrument.md,worn_item,,,Cursed Immaculate Instrument,Pathfinder War of Immortals pg. 203,rare,"artifact, cursed, divine, mythic",12,,,,,Paizo,,0,,L,,,,,,,,,,,,,,,,
Cythbikian Staff,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\cythbikian-staff.md,worn_item,,,Cythbikian Staff,Pathfinder #202: Severed at the Root pg. 80,unique,"fungus, magical, staff, two-hand-d8",15,,,,,Paizo,,5800,,1,,,,,,,,,,,,,,,,
Dagger Pistol,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\D\dagger-pistol.md,basic,,,Dagger Pistol,Pathfinder Guns & Gears pg. 159,uncommon,"combination, concussive, fatal-d8, agile, critical fusion, finesse, thrown 10ft., versatile s",0,,,,Martial Ranged/Melee,Paizo,,8,,L,,,,,,,,,,,,,,,,
darkening-poison,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\D\darkening-poison.md,worn_item,,,darkening-poison,Pathfinder Monster Core pg. 48,uncommon,"consumable, poison",0,,,,,Paizo,,5,,,,,,,,,,,,,,,,,,
Darkvision Scope (Greater),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\D\darkvision-scope-greater.md,worn_item,Darkvision Elixir (Greater),,Darkvision Scope (Greater),Pathfinder Guns & Gears pg. 180,,magical,15,,,,,Paizo,,5500,,L,,,,,,,,,,,,,,,,
Darkvision Scope,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\D\darkvision-scope.md,worn_item,,,Darkvision Scope,Pathfinder Guns & Gears pg. 180,,magical,5,,,,,Paizo,,160,,L,,,,,,,,,,,,,,,,
Dart Umbrella,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\D\dart-umbrella.md,basic,,,Dart Umbrella,Pathfinder Guns & Gears pg. 63,uncommon,"agile, concealable, nonlethal",0,,,,Martial Ranged,Paizo,,1,,1,,,,,,,,,,,,,,,,
Dawnflower Beads,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\D\dawnflower-beads.md,worn_item,,,Dawnflower Beads,Pathfinder Treasure Vault pg. 194,rare,"divine, healing, intelligent, vitality",11,,,,,Paizo,,1400,,,,,,,,,,,,,,,,,,
Dawnsilver Buckler (High Grade),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\D\dawnsilver-buckler-high-grade.md,material,Dawnsilver Armor (High-Grade); Dawnsilver Weapon (High-Grade),,Dawnsilver Buckler (High Grade),Pathfinder GM Core pg. 233,uncommon,,16,8000,,,,Paizo,,,,,,,,,,,,,,,,,,,,
Dawnsilver Buckler (Standard Grade),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\D\dawnsilver-buckler-standard-grade.md,material,Dawnsilver Armor (Standard-Grade); Dawnsilver Weapon (Standard-Grade); Silver Armor (Standard-Grade),,Dawnsilver Buckler (Standard Grade),Pathfinder GM Core pg. 233,uncommon,,8,400,,,,Paizo,,,,,,,,,,,,,,,,,,,,
Dawnsilver Chunk,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\D\dawnsilver-chunk.md,worn_item,Silver Chunk,,Dawnsilver Chunk,Pathfinder GM Core pg. 253,uncommon,precious,8,,,,,Paizo,,500,,,,,,,,,,,,,,,,,,
Dawnsilver Ingot,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\D\dawnsilver-ingot.md,worn_item,Silver Ingot,,Dawnsilver Ingot,Pathfinder GM Core pg. 253,uncommon,precious,8,,,,,Paizo,,5000,,,,,,,,,,,,,,,,,,
Dawnsilver Object (High Grade),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\D\dawnsilver-object-high-grade.md,material,Dawnsilver Armor (High-Grade); Dawnsilver Weapon (High-Grade),,Dawnsilver Object (High Grade),Pathfinder GM Core pg. 254,uncommon,precious,16,6000,,,,Paizo,,,,,,,,,,,,,,,,,,,,
Dawnsilver Object (Standard Grade),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\D\dawnsilver-object-standard-grade.md,material,Dawnsilver Armor (Standard-Grade); Dawnsilver Weapon (Standard-Grade); Silver Armor (Standard-Grade),,Dawnsilver Object (Standard Grade),Pathfinder GM Core pg. 253,uncommon,precious,8,350,,,,Paizo,,,,,,,,,,,,,,,,,,,,
Dawnsilver Shield (High Grade),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\D\dawnsilver-shield-high-grade.md,material,Silver Shield (High-Grade); Dawnsilver Weapon (High-Grade); Adamantine Shield (High-Grade),,Dawnsilver Shield (High Grade),Pathfinder GM Core pg. 233,uncommon,,16,8800,,,,Paizo,,,,,,,,,,,,,,,,,,,,
Dawnsilver Shield (Standard Grade),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\D\dawnsilver-shield-standard-grade.md,material,Silver Shield (Standard-Grade); Dawnsilver Weapon (Standard-Grade); Adamantine Shield (Standard-Grade),,Dawnsilver Shield (Standard Grade),Pathfinder GM Core pg. 233,uncommon,,8,440,,,,Paizo,,,,,,,,,,,,,,,,,,,,
Dawnsilver Tree,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\D\dawnsilver-tree.md,worn_item,,,Dawnsilver Tree,Pathfinder Guns & Gears pg. 153,uncommon,"concussive, elf, fatal-d10, parry",0,,,,,Paizo,,7,,1,,,,,,,,,,,,,,,,
Dawnsilver,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\D\dawnsilver.md,worn_item,,,Dawnsilver,Pathfinder GM Core pg. 253,uncommon,precious,8+,,,,,Paizo,,,,,,,,,,,,,,,,,,,,
Deathstalk Mushroom,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\D\deathstalk-mushroom.md,worn_item,,,Deathstalk Mushroom,Pathfinder #211: The Secret of Deathstalk Tower pg. 83,rare,"alchemical, consumable, ingested, poison, virulent",16,,,,,Paizo,,2000,,L,,,,,,,,,,,,,,,,
Decaying (Greater),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\D\decaying-(greater).md,worn_item,Menacing (Greater); Quenching (Greater); Hauling (Greater),,Decaying (Greater),Pathfinder GM Core pg. 237,,"acid, magical, void",15,,,,,Paizo,,6500,,,,,,,,,,,,,,,,,,
Decaying,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\D\Decaying.md,worn_item,,,Decaying,Pathfinder GM Core pg. 237,,"acid, magical, void",15,,,,,Paizo,,6500,,,,,,,,,,,,,,,,,,
Deck of Harrowed Tales,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\D\deck-of-harrowed-tales.md,worn_item,,,Deck of Harrowed Tales,Pathfinder #191: The Destiny War pg. 71,unique,"artifact, magical",20,,,,,Paizo,,0,,L,,,,,,,,,,,,,,,,
Deck of Many Things,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\D\deck-of-many-things.md,worn_item,,,Deck of Many Things,Pathfinder Gamemastery Guide pg. 107,rare,"artifact, magical",22,,,,,Paizo,,0,,,,,,,,,,,,,,,,,,
Defoliation Bomb (Greater),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\D\defoliation-bomb-greater.md,worn_item,Lodestone Bomb (Greater); Desolation Locket (Greater); Retaliation (Greater),,Defoliation Bomb (Greater),Pathfinder #202: Severed at the Root pg. 77,uncommon,"alchemical, bomb, consumable, splash, void",12,,,,,Paizo,,350,,L,,,,,,,,,,,,,,,,
Defoliation Bomb (Lesser),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\D\defoliation-bomb-lesser.md,worn_item,Retaliation (Lesser); Demolition Fulu (Lesser),,Defoliation Bomb (Lesser),Pathfinder #202: Severed at the Root pg. 77,uncommon,"alchemical, bomb, consumable, splash, void",2,,,,,Paizo,,7,,L,,,,,,,,,,,,,,,,
Defoliation Bomb (Major),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\D\defoliation-bomb-major.md,worn_item,Desolation Locket (Major); Retaliation (Major),,Defoliation Bomb (Major),Pathfinder #202: Severed at the Root pg. 77,uncommon,"alchemical, bomb, consumable, splash, void",18,,,,,Paizo,,3600,,L,,,,,,,,,,,,,,,,
Defoliation Bomb (Moderate),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\D\defoliation-bomb-moderate.md,worn_item,Retaliation (Moderate); Demolition Fulu (Moderate); Necrotic Bomb (Moderate),,Defoliation Bomb (Moderate),Pathfinder #202: Severed at the Root pg. 77,uncommon,"alchemical, bomb, consumable, splash, void",4,,,,,Paizo,,18,,L,,,,,,,,,,,,,,,,
Demon Bone Tiles (Brimorak),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\D\demon-bone-tiles-brimorak.md,worn_item,,,Demon Bone Tiles (Brimorak),Pathfinder Lost Omens Rival Academies pg. 111,rare,"catalyst, consumable, magical, unholy",5,,,,,Paizo,,28,,L,,,,,,,,,,,,,,,,
Demon Bone Tiles (Pusk),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\D\demon-bone-tiles-pusk.md,worn_item,,,Demon Bone Tiles (Pusk),Pathfinder Lost Omens Rival Academies pg. 111,rare,"catalyst, consumable, magical, unholy",2,,,,,Paizo,,7,,L,,,,,,,,,,,,,,,,
Demon Bone Tiles (Seraptis),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\D\demon-bone-tiles-seraptis.md,worn_item,,,Demon Bone Tiles (Seraptis),Pathfinder Lost Omens Rival Academies pg. 111,rare,"catalyst, consumable, magical, unholy",15,,,,,Paizo,,1200,,L,,,,,,,,,,,,,,,,
Demon-Hunting Bands,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\D\demon-hunting-bands.md,worn_item,,,Demon-Hunting Bands,Pathfinder Lost Omens Rival Academies pg. 66,rare,"consumable, divine, holy, talisman",3,,,,,Paizo,,10,,,,,,,,,,,,,,,,,,
Demon's Knot,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\D\demons-knot.md,worn_item,Demon Mask; Demon Dust,,Demon's Knot,Pathfinder #195: Heavy is the Crown pg. 79,unique,"artifact, cursed, invested, magical, unholy",15,,,,,Paizo,,0,,L,,,,,,,,,,,,,,,,
Deployable Cover (Ballistic Cover),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\D\deployable-cover-ballistic-cover.md,worn_item,,,Deployable Cover (Ballistic Cover),Pathfinder Guns & Gears pg. 64,uncommon,,2,,,,,Paizo,,35,,1,,,,,,,,,,,,,,,,
Deployable Cover,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\D\deployable-cover.md,worn_item,,,Deployable Cover,Pathfinder Guns & Gears pg. 64,uncommon,,1,,,,,Paizo,,15,,1,,,,,,,,,,,,,,,,
Devil's Luck,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\D\devils-luck.md,worn_item,,,Devil's Luck,Pathfinder #164: Hands of the Devil pg. 74,rare,"contract, fortune, invested, magical",3,,,,,Paizo,,0,,,,,,,,,,,,,,,,,,
Dezullon Fountain,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\D\dezullon-fountain.md,worn_item,,,Dezullon Fountain,Pathfinder Treasure Vault pg. 36,uncommon,"acid, agile, magical, plant, repeating",11,,,,,Paizo,,1300,,L,,,,,,,,,,,,,,,,
Digly's Oil of Sympathy (Greater),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\D\diglys-oil-of-sympathy-greater.md,worn_item,,,Digly's Oil of Sympathy (Greater),Pathfinder NPC Core pg. 65,rare,"consumable, healing, magical, oil",12,,,,,Paizo,,400,,L,,,,,,,,,,,,,,,,
Digly's Oil of Sympathy (Lesser),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\D\diglys-oil-of-sympathy-lesser.md,worn_item,,,Digly's Oil of Sympathy (Lesser),Pathfinder NPC Core pg. 65,rare,"consumable, healing, magical, oil",3,,,,,Paizo,,12,,L,,,,,,,,,,,,,,,,
Digly's Oil of Sympathy (Major),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\D\diglys-oil-of-sympathy-major.md,worn_item,,,Digly's Oil of Sympathy (Major),Pathfinder NPC Core pg. 65,rare,"consumable, healing, magical, oil",18,,,,,Paizo,,5000,,L,,,,,,,,,,,,,,,,
Digly's Oil of Sympathy (Minor),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\D\diglys-oil-of-sympathy-minor.md,worn_item,,,Digly's Oil of Sympathy (Minor),Pathfinder NPC Core pg. 65,rare,"consumable, healing, magical, oil",1,,,,,Paizo,,4,,L,,,,,,,,,,,,,,,,
Digly's Oil of Sympathy (Moderate),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\D\diglys-oil-of-sympathy-moderate.md,worn_item,,,Digly's Oil of Sympathy (Moderate),Pathfinder NPC Core pg. 65,rare,"consumable, healing, magical, oil",6,,,,,Paizo,,50,,L,,,,,,,,,,,,,,,,
Dirt Sea in a Jar,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\D\dirt-sea-in-a-jar.md,worn_item,,,Dirt Sea in a Jar,Pathfinder #209: Destroyer's Doom pg. 83,uncommon,magical,9,,,,,Paizo,,880,,L,,,,,,,,,,,,,,,,
Djezet Alloy Object (High Grade),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\D\djezet-alloy-object-high-grade.md,material,Djezet Armor (High-Grade),,Djezet Alloy Object (High Grade),Pathfinder Lost Omens Grand Bazaar pg. 97,rare,precious,16,7000,,,,Paizo,,,,,,,,,,,,,,,,,,,,
Djezet Alloy Object (Standard Grade),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\D\djezet-alloy-object-standard-grade.md,material,Djezet Armor (Standard-Grade); Djezet Weapon (Standard-Grade); Djezet Shield (Standard-Grade),,Djezet Alloy Object (Standard Grade),Pathfinder Lost Omens Grand Bazaar pg. 97,rare,precious,8,400,,,,Paizo,,,,,,,,,,,,,,,,,,,,
Djezet Buckler (High Grade),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\D\djezet-buckler-high-grade.md,material,Djezet Armor (High-Grade); Djezet Weapon (High-Grade); Djezet Shield (High-Grade),,Djezet Buckler (High Grade),Pathfinder Lost Omens Grand Bazaar pg. 98,rare,,16,8000,,,,Paizo,,,,,,,,,,,,,,,,,,,,
Djezet Buckler (Standard Grade),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\D\djezet-buckler-standard-grade.md,material,Djezet Armor (Standard-Grade); Djezet Weapon (Standard-Grade); Djezet Shield (Standard-Grade),,Djezet Buckler (Standard Grade),Pathfinder Lost Omens Grand Bazaar pg. 98,rare,,9,600,,,,Paizo,,,,,,,,,,,,,,,,,,,,
Djezet,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\D\djezet.md,worn_item,Djezet Mass; Djezet Dose,,Djezet,Pathfinder Lost Omens Grand Bazaar pg. 97,rare,precious,0,,,,,Paizo,,,,,,,,,,,,,,,,,,,,
Doll (Surprise),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\D\doll-surprise.md,worn_item,Doll (Exquisite Surprise),,Doll (Surprise),Pathfinder NPC Core,,,1,,,,,Paizo,,1,,L,,,,,,,,,,,,,,,,
